timestamp,recording,method,ica1_pca_n_components,ica1_maternal_ic_index,path_a_selected_ic_index,path_a_selected_ic_peak_count,path_a_selected_ic_hr_bpm,path_a_selected_ic_is_valid,path_a_selected_ic_stability,path_a_selected_ic_score,path_c_enabled,path_c_selected_ic_index,path_c_selected_ic_hr_bpm,path_c_selected_ic_is_valid,path_c_selected_ic_stability,path_c_selected_ic_score,path_c_template_energy_reduction_pct,path_c_template_n_beats,sqi_fusion_enabled,chosen_sqi,periodicity_score_enabled,chosen_path_description,chosen_ic_index,chosen_ic_hr_bpm,chosen_ic_peak_count,chosen_ic_selection_score,chosen_ic_stability,low_confidence,confidence_gate_threshold,path_disagreement_bpm,expected_fhr_prior_bpm,expected_fhr_prior_confidence,harmonic_confusion,sparse_annotation,ekf_used,ekf_use_rts,final_peak_count,final_hr_bpm
20260707_205135,a11,PHASE_cinc2013_metadata,3.0,1.0,2.0,103.0,130.2563,1.0,0.6018,0.2277,1.0,2.0,135.1603,1.0,1.0,0.7368,96.9416,94.0,1.0,0.6241,1.0,C_TemplateSub_ICA3_IC3_135bpm,2.0,135.1603,128.0,0.7368,1.0,0.0,0.3,4.9041,173.9502,26.6886,0.0,0.0,1.0,1.0,127.0,134.4039
20260707_205135,a12,PHASE_cinc2013_metadata,3.0,2.0,0.0,134.0,136.8652,1.0,1.0,0.7573,1.0,0.0,138.0375,1.0,0.402,1.2677,91.6804,87.0,1.0,0.5591,1.0,C_TemplateSub_ICA3_IC1_138bpm,0.0,138.0375,138.0,1.2677,0.402,0.0,0.3,1.1724,191.3452,4.8404,0.0,0.0,1.0,1.0,138.0,138.044
20260707_205135,a13,PHASE_cinc2013_metadata,3.0,2.0,0.0,122.0,132.8596,1.0,0.6,0.4703,1.0,2.0,126.0184,1.0,1.0,1.7931,97.1657,81.0,1.0,0.5818,1.0,C_TemplateSub_ICA3_IC3_126bpm,2.0,126.0184,126.0,1.7931,1.0,0.0,0.3,6.8412,180.3589,8.1646,0.0,0.0,1.0,1.0,126.0,125.9799
20260707_205135,a14,PHASE_cinc2013_metadata,3.0,2.0,1.0,114.0,122.5914,1.0,0.9999,0.6897,1.0,1.0,123.8006,1.0,1.0,1.3349,90.9343,100.0,1.0,0.5718,1.0,C_TemplateSub_ICA3_IC2_124bpm,1.0,123.8006,124.0,1.3349,1.0,0.0,0.3,1.2091,117.1875,10.4378,0.0,0.0,1.0,1.0,124.0,123.8005
20260707_205135,a15,PHASE_cinc2013_metadata,3.0,2.0,0.0,134.0,134.895,1.0,0.3021,1.5679,1.0,0.0,134.5985,1.0,1.0,2.272,80.8774,73.0,1.0,0.6185,1.0,C_TemplateSub_ICA3_IC1_135bpm,0.0,134.5985,134.0,2.272,1.0,0.0,0.3,0.2966,118.103,2.647,0.0,0.0,1.0,1.0,134.0,134.6
20260707_205135,a16,PHASE_cinc2013_metadata,3.0,1.0,2.0,97.0,128.0296,1.0,0.6007,0.2264,1.0,3.0,123.244,1.0,0.6011,0.2481,82.9414,90.0,1.0,0.3379,1.0,C_spectral_IC4_123bpm,3.0,123.244,89.0,0.2481,0.6011,1.0,0.3,4.7856,158.3862,4.8163,0.0,0.0,1.0,1.0,89.0,124.1612
20260707_205135,a17,PHASE_cinc2013_metadata,3.0,2.0,1.0,132.0,132.2187,1.0,0.4,1.4466,1.0,1.0,132.2695,1.0,1.0,1.7505,81.2623,87.0,1.0,0.5919,1.0,C_TemplateSub_ICA3_IC2_132bpm,1.0,132.2695,132.0,1.7505,1.0,0.0,0.3,0.0507,104.3701,2.5514,0.0,0.0,1.0,1.0,132.0,132.2585
20260707_205135,a18,PHASE_cinc2013_metadata,3.0,1.0,0.0,111.0,111.5876,1.0,0.891,0.5634,1.0,2.0,125.6391,1.0,0.3021,0.2674,90.617,88.0,1.0,0.7206,1.0,A_ICA1_direct_IC1_112bpm,0.0,111.5876,111.0,0.5634,0.891,1.0,0.3,14.0515,120.8496,39.6091,0.0,0.0,1.0,1.0,111.0,111.5873
20260707_205135,a19,PHASE_cinc2013_metadata,3.0,2.0,0.0,110.0,124.6204,1.0,1.0,0.3951,1.0,2.0,127.1219,1.0,1.0,2.4136,95.6925,72.0,1.0,0.6824,1.0,C_TemplateSub_ICA3_IC3_127bpm,2.0,127.1219,127.0,2.4136,1.0,0.0,0.3,2.5015,161.1328,3.619,0.0,0.0,1.0,1.0,127.0,127.1154
20260707_205135,a20,PHASE_cinc2013_metadata,3.0,2.0,0.0,125.0,135.1214,1.0,0.4001,0.3757,1.0,2.0,132.9055,1.0,1.0,1.3242,95.9355,84.0,1.0,0.6046,1.0,C_TemplateSub_ICA3_IC3_133bpm,2.0,132.9055,132.0,1.3242,1.0,0.0,0.3,2.2159,154.7241,4.0914,0.0,0.0,1.0,1.0,132.0,132.9048
20260707_205135,a21,PHASE_cinc2013_metadata,3.0,2.0,0.0,141.0,145.5164,1.0,0.4,0.7379,1.0,0.0,145.394,1.0,1.0,0.7967,97.572,90.0,1.0,0.3999,1.0,C_TemplateSub_ICA3_IC1_145bpm,0.0,145.394,141.0,0.7967,1.0,0.0,0.3,0.1224,157.4707,8.1954,0.0,0.0,1.0,1.0,141.0,145.2888
20260707_205135,a22,PHASE_cinc2013_metadata,3.0,2.0,1.0,126.0,125.3701,1.0,0.4,2.2719,1.0,1.0,125.3528,1.0,1.0,3.4313,85.9763,79.0,1.0,0.7431,1.0,C_TemplateSub_ICA3_IC2_125bpm,1.0,125.3528,126.0,3.4313,1.0,0.0,0.3,0.0174,106.2012,3.8072,0.0,0.0,1.0,1.0,126.0,125.3545
20260707_205135,a23,PHASE_cinc2013_metadata,3.0,2.0,0.0,136.0,142.5163,1.0,0.4002,0.3193,1.0,2.0,126.5303,1.0,1.0,2.5646,95.7198,77.0,1.0,0.6463,1.0,C_TemplateSub_ICA3_IC3_127bpm,2.0,126.5303,126.0,2.5646,1.0,1.0,0.3,15.986,138.2446,2.6675,0.0,0.0,1.0,1.0,126.0,126.5318
20260707_205135,a24,PHASE_cinc2013_metadata,3.0,2.0,0.0,116.0,129.9818,1.0,1.0,0.3379,1.0,2.0,123.2077,1.0,1.0,2.1634,96.9004,79.0,1.0,0.6378,1.0,C_TemplateSub_ICA3_IC3_123bpm,2.0,123.2077,123.0,2.1634,1.0,0.0,0.3,6.7741,189.5142,5.3234,0.0,0.0,1.0,1.0,123.0,123.2071
20260707_205135,a25,PHASE_cinc2013_metadata,3.0,2.0,1.0,107.0,123.4255,1.0,1.0,0.3957,1.0,2.0,125.0193,1.0,1.0,2.1268,95.1142,78.0,1.0,0.6286,1.0,C_TemplateSub_ICA3_IC3_125bpm,2.0,125.0193,125.0,2.1268,1.0,0.0,0.3,1.5939,116.272,3.3819,0.0,0.0,1.0,1.0,125.0,125.0179
20260707_205135,a26,PHASE_cinc2013_metadata,3.0,1.0,0.0,136.0,139.4314,1.0,0.8029,0.571,1.0,2.0,139.082,1.0,0.9616,0.7342,98.1296,71.0,1.0,0.4441,1.0,C_TemplateSub_ICA3_IC3_139bpm,2.0,139.082,138.0,0.7342,0.9616,0.0,0.3,0.3494,127.2583,6.5935,0.0,0.0,1.0,1.0,138.0,139.0749
20260707_205135,a27,PHASE_cinc2013_metadata,3.0,1.0,0.0,133.0,136.6897,1.0,0.6012,0.9466,1.0,0.0,133.2899,1.0,0.9997,1.6135,99.6667,90.0,1.0,0.7568,1.0,C_TemplateSub_ICA3_IC1_133bpm,0.0,133.2899,133.0,1.6135,0.9997,0.0,0.3,3.3998,197.7539,50.0,0.0,0.0,1.0,1.0,133.0,133.3243
20260707_205135,a28,PHASE_cinc2013_metadata,3.0,2.0,0.0,141.0,148.9857,1.0,1.0,0.7498,1.0,2.0,166.2248,1.0,1.0,1.443,84.2097,94.0,1.0,0.5327,1.0,C_TemplateSub_ICA3_IC3_166bpm,2.0,166.2248,164.0,1.443,1.0,1.0,0.3,17.2391,111.6943,2.5875,0.0,0.0,1.0,1.0,164.0,166.2205
20260707_205135,a29,PHASE_cinc2013_metadata,3.0,1.0,0.0,133.0,139.3106,1.0,0.4044,0.5084,1.0,2.0,137.9374,1.0,0.6033,0.5214,7.6957,60.0,1.0,0.3928,1.0,C_TemplateSub_ICA3_IC3_138bpm,2.0,137.9374,133.0,0.5214,0.6033,0.0,0.3,1.3732,106.2012,4.9177,0.0,0.0,1.0,1.0,132.0,137.0861
20260707_205135,a30,PHASE_cinc2013_metadata,3.0,1.0,2.0,135.0,142.9803,1.0,0.6,0.3771,1.0,0.0,140.171,1.0,0.4023,1.1037,88.34,100.0,1.0,0.6435,1.0,C_TemplateSub_ICA3_IC1_140bpm,0.0,140.171,139.0,1.1037,0.4023,0.0,0.3,2.8094,116.272,3.3055,0.0,0.0,1.0,1.0,139.0,140.1579
20260707_205135,a31,PHASE_cinc2013_metadata,3.0,2.0,0.0,137.0,144.7921,1.0,0.9984,0.3915,1.0,2.0,137.0972,1.0,0.6,1.5586,56.2429,78.0,1.0,0.5055,1.0,C_TemplateSub_ICA3_IC3_137bpm,2.0,137.0972,137.0,1.5586,0.6,0.0,0.3,7.6949,140.0757,1.9608,0.0,0.0,1.0,1.0,137.0,137.2482
20260707_205135,a32,PHASE_cinc2013_metadata,3.0,1.0,0.0,152.0,152.1103,1.0,0.6002,1.5941,1.0,0.0,152.0486,1.0,1.0,1.929,99.7735,93.0,1.0,0.5796,1.0,C_TemplateSub_ICA3_IC1_152bpm,0.0,152.0486,152.0,1.929,1.0,0.0,0.3,0.0617,171.2036,50.0,0.0,0.0,1.0,1.0,152.0,152.049
20260707_205135,a33,PHASE_cinc2013_metadata,3.0,1.0,0.0,142.0,144.0499,1.0,1.0,1.9579,1.0,0.0,144.2046,1.0,0.4054,1.1042,82.0356,89.0,1.0,0.7627,1.0,A_ICA1_direct_IC1_144bpm,0.0,144.0499,142.0,1.9579,1.0,0.0,0.3,0.1546,106.2012,2.7147,0.0,0.0,1.0,1.0,142.0,144.1601
20260707_205135,a34,PHASE_cinc2013_metadata,3.0,0.0,1.0,134.0,142.4377,1.0,0.401,0.414,1.0,3.0,137.7414,1.0,0.4031,0.492,52.253,74.0,1.0,0.4235,1.0,C_TemplateSub_ICA3_IC4_138bpm,3.0,137.7414,132.0,0.492,0.4031,0.0,0.3,4.6963,108.0322,7.1255,0.0,0.0,1.0,1.0,131.0,138.6206
20260707_205135,a35,PHASE_cinc2013_metadata,3.0,2.0,1.0,131.0,144.2799,1.0,1.0,0.6919,1.0,2.0,165.1427,1.0,1.0,1.7392,86.3063,91.0,1.0,0.6715,1.0,C_TemplateSub_ICA3_IC3_165bpm,2.0,165.1427,165.0,1.7392,1.0,1.0,0.3,20.8628,107.1167,3.4707,0.0,0.0,1.0,1.0,165.0,165.1722
20260707_205135,a36,PHASE_cinc2013_metadata,3.0,2.0,0.0,141.0,149.6194,1.0,0.4,0.5849,1.0,1.0,166.5054,1.0,1.0,1.064,87.7046,95.0,1.0,0.5329,1.0,C_TemplateSub_ICA3_IC2_167bpm,1.0,166.5054,166.0,1.064,1.0,1.0,0.3,16.8861,147.3999,2.2544,0.0,0.0,1.0,1.0,166.0,166.4757
20260707_205135,a37,PHASE_cinc2013_metadata,3.0,2.0,0.0,136.0,143.3477,1.0,0.4,0.3824,1.0,0.0,141.3866,1.0,1.0,2.3817,86.2101,94.0,1.0,0.7623,1.0,C_TemplateSub_ICA3_IC1_141bpm,0.0,141.3866,142.0,2.3817,1.0,0.0,0.3,1.9611,115.3564,8.633,0.0,0.0,1.0,1.0,142.0,141.3859
20260707_205135,a38,PHASE_cinc2013_metadata,3.0,1.0,0.0,134.0,141.8852,1.0,0.6003,0.459,1.0,0.0,144.1412,1.0,0.4003,0.4435,53.859,73.0,1.0,0.4562,1.0,A_ICA1_direct_IC1_142bpm,0.0,141.8852,134.0,0.459,0.6003,0.0,0.3,2.256,119.9341,5.4496,0.0,0.0,1.0,1.0,135.0,143.3449
20260707_205135,a39,PHASE_cinc2013_metadata,3.0,1.0,0.0,141.0,148.9756,1.0,0.6001,0.3759,1.0,0.0,135.76,1.0,1.0,2.0841,84.7858,89.0,1.0,0.6739,1.0,C_TemplateSub_ICA3_IC1_136bpm,0.0,135.76,135.0,2.0841,1.0,1.0,0.3,13.2156,128.1738,2.3252,0.0,0.0,1.0,1.0,135.0,135.7572
20260707_205135,a40,PHASE_cinc2013_metadata,3.0,1.0,0.0,130.0,137.6969,1.0,0.4001,0.4094,1.0,1.0,131.3493,1.0,0.3999,0.4217,30.5058,79.0,1.0,0.5144,1.0,C_TemplateSub_ICA3_IC2_131bpm,1.0,131.3493,117.0,0.4217,0.3999,0.0,0.3,6.3476,102.5391,6.571,0.0,0.0,1.0,1.0,116.0,130.3576
20260707_205135,a41,PHASE_cinc2013_metadata,3.0,1.0,2.0,135.0,135.3983,1.0,0.6002,1.4522,1.0,2.0,136.1326,1.0,0.401,1.5758,79.4627,107.0,1.0,0.5516,1.0,C_TemplateSub_ICA3_IC3_136bpm,2.0,136.1326,136.0,1.5758,0.401,0.0,0.3,0.7342,125.4272,6.0203,0.0,0.0,1.0,1.0,136.0,136.1331
20260707_205135,a42,PHASE_cinc2013_metadata,3.0,1.0,0.0,138.0,146.2347,1.0,0.4288,0.406,1.0,2.0,151.0782,1.0,0.6045,1.2626,66.3679,73.0,1.0,0.4994,1.0,C_TemplateSub_ICA3_IC3_151bpm,2.0,151.0782,151.0,1.2626,0.6045,0.0,0.3,4.8435,115.3564,2.2988,0.0,0.0,1.0,1.0,151.0,151.0524
20260707_205135,a43,PHASE_cinc2013_metadata,3.0,1.0,0.0,158.0,157.8977,1.0,0.6003,2.2587,1.0,0.0,157.8734,1.0,1.0,2.5615,99.7928,101.0,1.0,0.6207,1.0,C_TemplateSub_ICA3_IC1_158bpm,0.0,157.8734,158.0,2.5615,1.0,0.0,0.3,0.0243,185.8521,44.357,0.0,0.0,1.0,1.0,158.0,157.8861
20260707_205135,a44,PHASE_cinc2013_metadata,3.0,2.0,1.0,145.0,157.0041,1.0,1.0,1.2779,1.0,1.0,163.2539,1.0,0.6021,2.7901,84.2737,91.0,1.0,0.6608,1.0,C_TemplateSub_ICA3_IC2_163bpm,1.0,163.2539,163.0,2.7901,0.6021,0.0,0.3,6.2498,108.0322,2.2782,0.0,0.0,1.0,1.0,163.0,163.2555
20260707_205135,a45,PHASE_cinc2013_metadata,3.0,0.0,2.0,140.0,148.6402,1.0,0.4,0.339,1.0,2.0,130.0275,1.0,1.0,0.3718,96.6013,94.0,1.0,0.456,1.0,C_TemplateSub_ICA3_IC3_130bpm,2.0,130.0275,121.0,0.3718,1.0,1.0,0.3,18.6127,115.3564,2.439,0.0,0.0,1.0,1.0,121.0,130.0348
20260707_205135,a46,PHASE_cinc2013_metadata,3.0,1.0,2.0,135.0,142.8085,1.0,0.6,0.3606,1.0,2.0,133.5186,1.0,0.4003,0.7129,96.2609,81.0,1.0,0.3916,1.0,C_TemplateSub_ICA3_IC3_134bpm,2.0,133.5186,132.0,0.7129,0.4003,1.0,0.3,9.2899,118.103,3.6317,0.0,0.0,1.0,1.0,132.0,133.5148
20260707_205135,a47,PHASE_cinc2013_metadata,3.0,1.0,2.0,142.0,143.2869,1.0,0.6,0.6701,1.0,0.0,141.3513,1.0,0.9996,1.4795,98.4115,70.0,1.0,0.7477,1.0,C_TemplateSub_ICA3_IC1_141bpm,0.0,141.3513,141.0,1.4795,0.9996,0.0,0.3,1.9356,126.3428,13.0345,0.0,0.0,1.0,1.0,141.0,141.353
20260707_205135,a48,PHASE_cinc2013_metadata,3.0,1.0,0.0,109.0,126.8206,1.0,0.2009,0.4641,1.0,2.0,135.8658,1.0,1.0,1.08,98.4886,73.0,1.0,0.6965,1.0,C_TemplateSub_ICA3_IC3_136bpm,2.0,135.8658,134.0,1.08,1.0,1.0,0.3,9.0452,131.8359,12.92,0.0,0.0,1.0,1.0,134.0,135.8826
20260707_205135,a49,PHASE_cinc2013_metadata,3.0,1.0,0.0,146.0,147.1687,1.0,0.4001,1.6384,1.0,2.0,146.5975,1.0,0.4001,1.4951,85.7623,87.0,1.0,0.7784,1.0,A_ICA1_direct_IC1_147bpm,0.0,147.1687,146.0,1.6384,0.4001,0.0,0.3,0.5712,103.4546,5.2377,0.0,0.0,1.0,1.0,146.0,147.0852
20260707_205135,a50,PHASE_cinc2013_metadata,3.0,1.0,2.0,141.0,141.3529,1.0,1.0,1.32,1.0,0.0,141.755,1.0,1.0,1.4052,99.6729,79.0,1.0,0.44,1.0,C_TemplateSub_ICA3_IC1_142bpm,0.0,141.755,142.0,1.4052,1.0,0.0,0.3,0.4021,181.2744,13.6468,0.0,0.0,1.0,1.0,142.0,141.7538
20260707_205135,a51,PHASE_cinc2013_metadata,3.0,2.0,0.0,130.0,139.0336,1.0,1.0,0.7319,1.0,2.0,133.7439,1.0,1.0,0.8171,98.7529,86.0,1.0,0.6222,1.0,C_TemplateSub_ICA3_IC3_134bpm,2.0,133.7439,128.0,0.8171,1.0,0.0,0.3,5.2896,187.6831,5.2206,0.0,0.0,1.0,1.0,130.0,135.2754
20260707_205135,a52,PHASE_cinc2013_metadata,3.0,1.0,0.0,137.0,140.3928,1.0,0.4007,0.8832,1.0,1.0,140.0388,1.0,0.4006,0.7257,24.8902,94.0,1.0,0.6001,1.0,A_ICA1_direct_IC1_140bpm,0.0,140.3928,137.0,0.8832,0.4007,0.0,0.3,0.354,116.272,2.164,0.0,0.0,1.0,1.0,137.0,140.4038
20260707_205135,a53,PHASE_cinc2013_metadata,3.0,1.0,0.0,133.0,142.3488,1.0,0.4003,0.4598,1.0,2.0,154.363,1.0,0.6,1.4869,59.7176,79.0,1.0,0.5648,1.0,C_TemplateSub_ICA3_IC3_154bpm,2.0,154.363,154.0,1.4869,0.6,1.0,0.3,12.0142,108.0322,7.417,0.0,0.0,1.0,1.0,154.0,154.3639
20260707_205135,a54,PHASE_cinc2013_metadata,3.0,0.0,2.0,135.0,144.0427,1.0,0.6,0.4027,1.0,2.0,143.4643,1.0,0.6,0.3894,2.8728,86.0,1.0,0.4614,1.0,A_ICA1_direct_IC3_144bpm,2.0,144.0427,135.0,0.4027,0.6,0.0,0.3,0.5784,105.2856,2.786,0.0,1.0,1.0,1.0,136.0,144.9643
20260707_205135,a55,PHASE_cinc2013_metadata,3.0,1.0,3.0,136.0,143.8918,1.0,0.5464,0.3584,1.0,2.0,140.7914,1.0,1.0,0.6917,96.506,94.0,1.0,0.4225,1.0,C_TemplateSub_ICA3_IC3_141bpm,2.0,140.7914,138.0,0.6917,1.0,0.0,0.3,3.1004,171.2036,10.3077,0.0,0.0,1.0,1.0,138.0,141.2109
20260707_205135,a56,PHASE_cinc2013_metadata,3.0,1.0,0.0,135.0,138.2215,1.0,0.4,0.6058,1.0,1.0,133.708,1.0,0.4001,0.7197,58.1592,92.0,1.0,0.5752,1.0,C_TemplateSub_ICA3_IC2_134bpm,1.0,133.708,132.0,0.7197,0.4001,0.0,0.3,4.5135,109.8633,10.6623,0.0,0.0,1.0,1.0,132.0,133.5849
20260707_205135,a57,PHASE_cinc2013_metadata,3.0,1.0,0.0,148.0,148.2954,1.0,0.4,2.2563,1.0,0.0,148.306,1.0,0.4,2.2564,99.6373,85.0,1.0,0.6316,1.0,A_ICA1_direct_IC1_148bpm,0.0,148.2954,148.0,2.2563,0.4,0.0,0.3,0.0106,155.6396,26.8248,0.0,0.0,1.0,1.0,148.0,148.2933
20260707_205135,a58,PHASE_cinc2013_metadata,3.0,1.0,0.0,137.0,138.3411,1.0,0.6004,0.9004,1.0,2.0,137.7779,1.0,0.4014,1.3164,77.4701,105.0,1.0,0.5315,1.0,C_TemplateSub_ICA3_IC3_138bpm,2.0,137.7779,137.0,1.3164,0.4014,0.0,0.3,0.5632,137.3291,3.6428,0.0,0.0,1.0,1.0,137.0,137.7776
20260707_205135,a59,PHASE_cinc2013_metadata,3.0,1.0,0.0,153.0,153.6126,1.0,0.6002,1.535,1.0,2.0,153.6237,1.0,1.0,1.6652,99.6645,96.0,1.0,0.5441,1.0,C_TemplateSub_ICA3_IC3_154bpm,2.0,153.6237,153.0,1.6652,1.0,0.0,0.3,0.0111,177.6123,50.0,0.0,0.0,1.0,1.0,153.0,153.6272
20260707_205135,a60,PHASE_cinc2013_metadata,3.0,1.0,0.0,140.0,147.1601,1.0,0.6,0.4429,1.0,3.0,121.8152,1.0,1.0,0.6294,99.9187,81.0,1.0,,1.0,A_arbitrated_IC1_147bpm,0.0,147.1601,140.0,0.4429,0.6,1.0,0.3,25.3449,181.2744,21.8639,0.0,0.0,1.0,1.0,140.0,147.163
20260707_205135,a61,PHASE_cinc2013_metadata,3.0,1.0,0.0,132.0,139.693,1.0,0.4001,0.5159,1.0,2.0,141.2732,1.0,0.6059,1.1417,65.232,74.0,1.0,0.4627,1.0,C_TemplateSub_ICA3_IC3_141bpm,2.0,141.2732,140.0,1.1417,0.6059,0.0,0.3,1.5802,130.0049,1.8135,0.0,0.0,1.0,1.0,140.0,141.4534
20260707_205135,a62,PHASE_cinc2013_metadata,3.0,0.0,3.0,134.0,142.3935,1.0,1.0,0.3296,1.0,2.0,144.3035,1.0,0.6,1.4199,78.5999,91.0,1.0,0.7116,1.0,C_TemplateSub_ICA3_IC3_144bpm,2.0,144.3035,142.0,1.4199,0.6,0.0,0.3,1.91,113.5254,3.9051,0.0,0.0,1.0,1.0,142.0,144.3091
20260707_205135,a63,PHASE_cinc2013_metadata,3.0,1.0,0.0,139.0,139.7086,1.0,0.6005,0.7863,1.0,2.0,138.9306,1.0,1.0,1.3732,99.3291,87.0,1.0,0.5193,1.0,C_TemplateSub_ICA3_IC3_139bpm,2.0,138.9306,139.0,1.3732,1.0,0.0,0.3,0.778,158.3862,50.0,0.0,0.0,1.0,1.0,139.0,138.9226
20260707_205135,a64,PHASE_cinc2013_metadata,3.0,1.0,0.0,136.0,137.2455,1.0,0.6004,0.9233,1.0,0.0,136.164,1.0,1.0,1.9133,99.513,81.0,1.0,0.5797,1.0,C_TemplateSub_ICA3_IC1_136bpm,0.0,136.164,136.0,1.9133,1.0,0.0,0.3,1.0815,180.3589,23.5739,0.0,0.0,1.0,1.0,136.0,136.1641
20260707_205135,a65,PHASE_cinc2013_metadata,3.0,1.0,2.0,141.0,147.8802,1.0,0.6001,0.412,1.0,2.0,144.5077,1.0,1.0,1.2095,93.4222,80.0,1.0,0.5692,1.0,C_TemplateSub_ICA3_IC3_145bpm,2.0,144.5077,144.0,1.2095,1.0,0.0,0.3,3.3725,127.2583,1.4023,0.0,0.0,1.0,1.0,144.0,144.5218
20260707_205135,a66,PHASE_cinc2013_metadata,3.0,1.0,3.0,138.0,145.1183,1.0,0.4001,0.3662,1.0,0.0,146.2589,1.0,0.4,0.3684,50.9893,94.0,1.0,0.3306,1.0,C_TemplateSub_ICA3_IC1_146bpm,0.0,146.2589,139.0,0.3684,0.4,0.0,0.3,1.1407,110.7788,3.3293,0.0,0.0,1.0,1.0,139.0,146.2732
