timestamp,recording,method,ica1_pca_n_components,ica1_maternal_ic_index,path_a_selected_ic_index,path_a_selected_ic_peak_count,path_a_selected_ic_hr_bpm,path_a_selected_ic_is_valid,path_a_selected_ic_stability,path_a_selected_ic_score,ica2_pca_n_components,ica2_excluded_maternal_residual_ic_index,path_b_selected_ic_index,path_b_selected_ic_peak_count,path_b_selected_ic_hr_bpm,path_b_selected_ic_is_valid,path_b_selected_ic_stability,path_b_selected_ic_score,path_b_adaptive_filter_used,path_c_enabled,path_c_selected_ic_index,path_c_selected_ic_hr_bpm,path_c_selected_ic_is_valid,path_c_selected_ic_stability,path_c_selected_ic_score,path_c_template_energy_reduction_pct,path_c_template_n_beats,sqi_fusion_enabled,chosen_sqi,periodicity_score_enabled,chosen_path_description,chosen_ic_index,chosen_ic_hr_bpm,chosen_ic_peak_count,chosen_ic_selection_score,chosen_ic_stability,low_confidence,confidence_gate_threshold,harmonic_confusion,sparse_annotation,ekf_used,ekf_use_rts,final_peak_count,final_hr_bpm
20260701_141524,a11,PHASE_cinc2013_metadata,3.0,1.0,2.0,103.0,130.2563,1.0,0.6018,0.169,3.0,-1.0,0.0,12.0,51.414,0.0,0.2,0.0,1.0,1.0,2.0,135.0199,1.0,1.0,0.5554,96.9188,94.0,1.0,0.6186,1.0,C_TemplateSub_ICA3_IC3_135bpm,2.0,135.0199,127.0,0.5554,1.0,0.0,0.3,0.0,0.0,1.0,1.0,127.0,135.0208
20260701_141524,a12,PHASE_cinc2013_metadata,3.0,2.0,0.0,134.0,136.8652,1.0,1.0,0.5605,3.0,-1.0,0.0,18.0,49.4071,0.0,0.2,0.0,1.0,1.0,0.0,138.0339,1.0,0.4021,0.826,91.5132,87.0,1.0,0.5634,1.0,C_TemplateSub_ICA3_IC1_138bpm,0.0,138.0339,138.0,0.826,0.4021,0.0,0.3,0.0,0.0,1.0,1.0,138.0,138.038
20260701_141524,a13,PHASE_cinc2013_metadata,3.0,2.0,0.0,122.0,132.8596,1.0,0.6,0.3699,3.0,-1.0,2.0,109.0,123.244,1.0,1.0,0.1221,1.0,1.0,2.0,126.0149,1.0,1.0,1.2213,97.122,81.0,1.0,0.5818,1.0,C_TemplateSub_ICA3_IC3_126bpm,2.0,126.0149,126.0,1.2213,1.0,0.0,0.3,0.0,0.0,1.0,1.0,126.0,126.0118
20260701_141524,a14,PHASE_cinc2013_metadata,3.0,2.0,1.0,114.0,122.5914,1.0,0.9999,0.5132,3.0,-1.0,2.0,105.0,107.4173,0.0,1.0,0.0383,1.0,1.0,1.0,123.7973,1.0,1.0,0.9101,90.8055,100.0,1.0,0.5745,1.0,C_TemplateSub_ICA3_IC2_124bpm,1.0,123.7973,124.0,0.9101,1.0,0.0,0.3,0.0,0.0,1.0,1.0,124.0,123.7973
20260701_141524,a15,PHASE_cinc2013_metadata,3.0,2.0,0.0,134.0,134.895,1.0,0.3021,1.0433,3.0,-1.0,1.0,134.0,135.7077,1.0,1.0,0.9539,1.0,1.0,2.0,134.5933,1.0,0.4,1.4869,80.5492,73.0,1.0,0.6194,1.0,C_TemplateSub_ICA3_IC3_135bpm,2.0,134.5933,134.0,1.4869,0.4,0.0,0.3,0.0,0.0,1.0,1.0,134.0,134.5935
20260701_141524,a16,PHASE_cinc2013_metadata,3.0,1.0,2.0,97.0,128.0296,1.0,0.6007,0.1667,3.0,-1.0,0.0,13.0,60.951,0.0,0.2,0.0,1.0,1.0,1.0,125.7848,1.0,0.1055,0.0,82.6623,90.0,1.0,0.3369,1.0,C_spectral_IC2_126bpm,1.0,125.7848,90.0,0.1667,0.1055,1.0,0.3,0.0,0.0,1.0,1.0,90.0,125.9521
20260701_141524,a17,PHASE_cinc2013_metadata,3.0,2.0,1.0,132.0,132.2187,1.0,0.4,1.0077,3.0,-1.0,0.0,131.0,132.3097,1.0,1.0,0.7726,1.0,1.0,2.0,132.2388,1.0,1.0,1.188,80.985,87.0,1.0,0.5903,1.0,C_TemplateSub_ICA3_IC3_132bpm,2.0,132.2388,132.0,1.188,1.0,0.0,0.3,0.0,0.0,1.0,1.0,132.0,132.2409
20260701_141524,a18,PHASE_cinc2013_metadata,3.0,1.0,0.0,111.0,111.5876,1.0,0.891,0.3717,3.0,-1.0,2.0,111.0,111.5834,1.0,1.0,0.3593,1.0,1.0,2.0,125.8299,1.0,0.6003,0.201,90.5539,88.0,1.0,0.7206,1.0,A_ICA1_direct_IC1_112bpm,0.0,111.5876,111.0,0.3717,0.891,0.0,0.3,0.0,0.0,1.0,1.0,111.0,111.5873
20260701_141524,a19,PHASE_cinc2013_metadata,3.0,2.0,1.0,110.0,124.6204,1.0,1.0,0.3048,3.0,-1.0,2.0,114.0,128.2968,1.0,1.0,0.1703,1.0,1.0,2.0,127.1186,1.0,1.0,1.6313,95.6299,72.0,1.0,0.6846,1.0,C_TemplateSub_ICA3_IC3_127bpm,2.0,127.1186,127.0,1.6313,1.0,0.0,0.3,0.0,0.0,1.0,1.0,127.0,127.1111
20260701_141524,a20,PHASE_cinc2013_metadata,3.0,2.0,0.0,125.0,135.1214,1.0,0.4001,0.2851,3.0,-1.0,2.0,108.0,121.6488,1.0,1.0,0.0973,1.0,1.0,2.0,132.6029,1.0,1.0,1.1268,95.8772,84.0,1.0,0.6119,1.0,C_TemplateSub_ICA3_IC3_133bpm,2.0,132.6029,132.0,1.1268,1.0,0.0,0.3,0.0,0.0,1.0,1.0,132.0,132.6029
20260701_141524,a21,PHASE_cinc2013_metadata,3.0,2.0,0.0,141.0,145.5164,1.0,0.4,0.5469,3.0,-1.0,0.0,4.0,37.8708,0.0,0.2,0.0,1.0,1.0,0.0,144.5169,1.0,1.0,0.5714,97.5424,90.0,1.0,0.3948,1.0,C_TemplateSub_ICA3_IC1_145bpm,0.0,144.5169,140.0,0.5714,1.0,0.0,0.3,0.0,0.0,1.0,1.0,141.0,145.3932
20260701_141524,a22,PHASE_cinc2013_metadata,3.0,2.0,1.0,126.0,125.3701,1.0,0.4,1.5726,3.0,-1.0,0.0,125.0,124.8419,1.0,1.0,0.7386,1.0,1.0,1.0,125.3447,1.0,1.0,2.3292,85.7071,79.0,1.0,0.7505,1.0,C_TemplateSub_ICA3_IC2_125bpm,1.0,125.3447,126.0,2.3292,1.0,0.0,0.3,0.0,0.0,1.0,1.0,126.0,125.3473
20260701_141524,a23,PHASE_cinc2013_metadata,3.0,2.0,0.0,136.0,142.5163,1.0,0.4002,0.2422,3.0,-1.0,2.0,103.0,116.8378,1.0,1.0,0.1226,1.0,1.0,2.0,126.5443,1.0,1.0,1.7518,95.6603,77.0,1.0,0.648,1.0,C_TemplateSub_ICA3_IC3_127bpm,2.0,126.5443,126.0,1.7518,1.0,0.0,0.3,0.0,0.0,1.0,1.0,126.0,126.5439
20260701_141524,a24,PHASE_cinc2013_metadata,3.0,2.0,1.0,116.0,129.9818,1.0,1.0,0.2613,3.0,-1.0,2.0,105.0,117.2689,1.0,1.0,0.1291,1.0,1.0,2.0,123.2085,1.0,1.0,1.4785,96.8687,79.0,1.0,0.6373,1.0,C_TemplateSub_ICA3_IC3_123bpm,2.0,123.2085,123.0,1.4785,1.0,0.0,0.3,0.0,0.0,1.0,1.0,123.0,123.2074
20260701_141524,a25,PHASE_cinc2013_metadata,3.0,2.0,1.0,107.0,123.4255,1.0,1.0,0.3075,3.0,-1.0,2.0,108.0,122.2709,1.0,1.0,0.1404,1.0,1.0,2.0,125.0224,1.0,1.0,1.4188,94.9958,78.0,1.0,0.6288,1.0,C_TemplateSub_ICA3_IC3_125bpm,2.0,125.0224,125.0,1.4188,1.0,0.0,0.3,0.0,0.0,1.0,1.0,125.0,125.0223
20260701_141524,a26,PHASE_cinc2013_metadata,3.0,1.0,0.0,136.0,139.4314,1.0,0.8029,0.4488,3.0,-1.0,0.0,12.0,58.1382,0.0,0.2,0.0,1.0,1.0,2.0,138.6166,1.0,0.9945,0.7095,98.1139,71.0,1.0,0.4776,1.0,C_TemplateSub_ICA3_IC3_139bpm,2.0,138.6166,138.0,0.7095,0.9945,0.0,0.3,0.0,0.0,1.0,1.0,138.0,138.6156
20260701_141524,a27,PHASE_cinc2013_metadata,3.0,1.0,0.0,134.0,137.7508,1.0,0.6012,0.7353,3.0,-1.0,0.0,18.0,62.0823,0.0,0.2,0.0,1.0,1.0,0.0,135.5529,1.0,0.9998,0.8377,99.6625,90.0,1.0,0.7329,1.0,C_TemplateSub_ICA3_IC1_136bpm,0.0,135.5529,134.0,0.8377,0.9998,0.0,0.3,0.0,0.0,1.0,1.0,134.0,135.1258
20260701_141524,a28,PHASE_cinc2013_metadata,3.0,2.0,0.0,141.0,148.9857,1.0,1.0,0.5936,3.0,-1.0,2.0,110.0,120.4923,1.0,1.0,0.0699,1.0,1.0,2.0,167.4625,1.0,0.4002,0.9608,83.9343,94.0,1.0,0.5559,1.0,C_TemplateSub_ICA3_IC3_167bpm,2.0,167.4625,166.0,0.9608,0.4002,0.0,0.3,0.0,0.0,1.0,1.0,166.0,167.4592
20260701_141524,a29,PHASE_cinc2013_metadata,3.0,1.0,0.0,133.0,139.3106,1.0,0.4044,0.3915,3.0,-1.0,0.0,11.0,88.5926,0.0,0.2,0.0,1.0,1.0,0.0,137.2412,1.0,0.406,0.4002,10.2886,60.0,1.0,0.3779,1.0,C_TemplateSub_ICA3_IC1_137bpm,0.0,137.2412,131.0,0.4002,0.406,0.0,0.3,0.0,0.0,1.0,1.0,130.0,136.0667
20260701_141524,a30,PHASE_cinc2013_metadata,3.0,1.0,2.0,135.0,142.9803,1.0,0.6,0.3063,3.0,-1.0,3.0,106.0,110.5697,1.0,0.9998,0.0184,1.0,1.0,2.0,140.3077,1.0,1.0,0.7609,88.2252,100.0,1.0,0.645,1.0,C_TemplateSub_ICA3_IC3_140bpm,2.0,140.3077,139.0,0.7609,1.0,0.0,0.3,0.0,0.0,1.0,1.0,139.0,140.3073
20260701_141524,a31,PHASE_cinc2013_metadata,3.0,2.0,0.0,137.0,144.7921,1.0,0.9984,0.3025,3.0,-1.0,0.0,138.0,147.8826,1.0,1.0,0.2886,1.0,1.0,2.0,137.31,1.0,0.6,0.8368,56.6773,78.0,1.0,0.4822,1.0,C_TemplateSub_ICA3_IC3_137bpm,2.0,137.31,137.0,0.8368,0.6,0.0,0.3,0.0,0.0,1.0,1.0,137.0,137.3173
20260701_141524,a32,PHASE_cinc2013_metadata,3.0,1.0,0.0,152.0,152.1103,1.0,0.6002,1.0163,3.0,-1.0,0.0,9.0,67.5437,0.0,0.2001,0.0,1.0,1.0,2.0,152.0355,1.0,1.0,1.1455,99.7667,93.0,1.0,0.558,1.0,C_TemplateSub_ICA3_IC3_152bpm,2.0,152.0355,152.0,1.1455,1.0,0.0,0.3,0.0,0.0,1.0,1.0,152.0,152.0404
20260701_141524,a33,PHASE_cinc2013_metadata,3.0,1.0,0.0,142.0,144.0499,1.0,1.0,1.3745,3.0,-1.0,2.0,133.0,139.6634,1.0,1.0,0.6446,1.0,1.0,0.0,144.6211,1.0,0.4058,0.8536,82.2022,89.0,1.0,0.7627,1.0,A_ICA1_direct_IC1_144bpm,0.0,144.0499,142.0,1.3745,1.0,0.0,0.3,0.0,0.0,1.0,1.0,142.0,144.1601
20260701_141524,a34,PHASE_cinc2013_metadata,3.0,0.0,1.0,134.0,142.4377,1.0,0.401,0.3209,3.0,-1.0,0.0,135.0,141.7912,1.0,1.0,0.2821,1.0,1.0,2.0,136.851,1.0,0.4052,0.4512,51.5243,74.0,1.0,0.4336,1.0,C_TemplateSub_ICA3_IC3_137bpm,2.0,136.851,132.0,0.4512,0.4052,0.0,0.3,0.0,0.0,1.0,1.0,132.0,137.8208
20260701_141524,a35,PHASE_cinc2013_metadata,3.0,2.0,1.0,131.0,144.2799,1.0,1.0,0.5397,3.0,0.0,2.0,131.0,141.1757,1.0,0.4003,0.4315,1.0,1.0,2.0,165.2008,1.0,1.0,1.1143,86.1824,91.0,1.0,0.6795,1.0,C_TemplateSub_ICA3_IC3_165bpm,2.0,165.2008,165.0,1.1143,1.0,0.0,0.3,0.0,0.0,1.0,1.0,165.0,165.2173
20260701_141524,a36,PHASE_cinc2013_metadata,3.0,2.0,0.0,141.0,149.6194,1.0,0.4,0.4675,3.0,0.0,2.0,134.0,144.2088,1.0,0.6,0.2798,1.0,1.0,1.0,166.4984,1.0,1.0,0.7044,87.5276,95.0,1.0,0.5355,1.0,C_TemplateSub_ICA3_IC2_166bpm,1.0,166.4984,166.0,0.7044,1.0,0.0,0.3,0.0,0.0,1.0,1.0,166.0,166.5045
20260701_141524,a37,PHASE_cinc2013_metadata,3.0,2.0,0.0,136.0,143.3477,1.0,0.4,0.3044,3.0,-1.0,2.0,137.0,145.2007,1.0,1.0,0.2529,1.0,1.0,0.0,141.3929,1.0,1.0,1.5813,86.4154,94.0,1.0,0.7565,1.0,C_TemplateSub_ICA3_IC1_141bpm,0.0,141.3929,142.0,1.5813,1.0,0.0,0.3,0.0,0.0,1.0,1.0,142.0,141.3912
20260701_141524,a38,PHASE_cinc2013_metadata,3.0,1.0,0.0,134.0,141.8852,1.0,0.6003,0.365,3.0,-1.0,0.0,10.0,79.5691,0.0,0.2,0.0,1.0,1.0,2.0,146.3469,1.0,1.0,0.3414,53.4267,73.0,1.0,0.6289,1.0,C_TemplateSub_ICA3_IC3_146bpm,2.0,146.3469,140.0,0.3414,1.0,0.0,0.3,0.0,0.0,1.0,1.0,140.0,146.4029
20260701_141524,a39,PHASE_cinc2013_metadata,3.0,1.0,0.0,141.0,148.9756,1.0,0.6001,0.2953,3.0,-1.0,2.0,140.0,148.4304,1.0,1.0,0.2866,1.0,1.0,0.0,135.7387,1.0,1.0,1.441,84.984,89.0,1.0,0.6796,1.0,C_TemplateSub_ICA3_IC1_136bpm,0.0,135.7387,135.0,1.441,1.0,0.0,0.3,0.0,0.0,1.0,1.0,135.0,135.732
20260701_141524,a40,PHASE_cinc2013_metadata,3.0,1.0,0.0,130.0,137.6969,1.0,0.4001,0.3223,3.0,-1.0,2.0,131.0,138.3064,1.0,1.0,0.3464,1.0,1.0,1.0,139.5003,1.0,0.6,0.2908,26.0387,79.0,1.0,0.3293,1.0,B_WSVD_ICA2_IC3_138bpm,2.0,138.3064,132.0,0.3464,1.0,0.0,0.3,0.0,0.0,1.0,1.0,132.0,139.2622
20260701_141524,a41,PHASE_cinc2013_metadata,3.0,1.0,2.0,135.0,135.3983,1.0,0.6002,1.0387,3.0,-1.0,2.0,132.0,134.9473,1.0,1.0,0.5325,1.0,1.0,2.0,136.2536,1.0,0.4005,0.8736,79.2132,107.0,1.0,0.4792,1.0,A_ICA1_direct_IC3_135bpm,2.0,135.3983,135.0,1.0387,0.6002,0.0,0.3,0.0,0.0,1.0,1.0,135.0,135.3963
20260701_141524,a42,PHASE_cinc2013_metadata,3.0,1.0,0.0,138.0,146.2347,1.0,0.4288,0.315,3.0,-1.0,2.0,137.0,145.281,1.0,1.0,0.314,1.0,1.0,2.0,151.0401,1.0,0.6044,0.8437,67.2751,73.0,1.0,0.5022,1.0,C_TemplateSub_ICA3_IC3_151bpm,2.0,151.0401,151.0,0.8437,0.6044,0.0,0.3,0.0,0.0,1.0,1.0,151.0,151.0466
20260701_141524,a43,PHASE_cinc2013_metadata,3.0,1.0,0.0,158.0,157.8977,1.0,0.6003,1.476,3.0,-1.0,0.0,23.0,43.0275,0.0,0.2,0.0,1.0,1.0,2.0,157.8709,1.0,1.0,1.6335,99.7885,101.0,1.0,0.6178,1.0,C_TemplateSub_ICA3_IC3_158bpm,2.0,157.8709,158.0,1.6335,1.0,0.0,0.3,0.0,0.0,1.0,1.0,158.0,157.8665
20260701_141524,a44,PHASE_cinc2013_metadata,3.0,2.0,1.0,145.0,157.0041,1.0,1.0,0.8856,3.0,-1.0,0.0,113.0,124.9266,1.0,1.0,0.1031,1.0,1.0,1.0,163.2484,1.0,0.6017,1.9022,84.1947,91.0,1.0,0.6582,1.0,C_TemplateSub_ICA3_IC2_163bpm,1.0,163.2484,163.0,1.9022,0.6017,0.0,0.3,0.0,0.0,1.0,1.0,163.0,163.2475
20260701_141524,a45,PHASE_cinc2013_metadata,3.0,0.0,2.0,140.0,148.6402,1.0,0.4,0.2658,3.0,-1.0,2.0,140.0,148.5786,1.0,1.0,0.2642,1.0,1.0,2.0,148.4359,1.0,1.0,0.2938,96.6537,94.0,1.0,0.3195,1.0,C_TemplateSub_ICA3_IC3_148bpm,2.0,148.4359,140.0,0.2938,1.0,1.0,0.3,0.0,0.0,1.0,1.0,139.0,147.4705
20260701_141524,a46,PHASE_cinc2013_metadata,3.0,1.0,2.0,135.0,142.8085,1.0,0.6,0.2801,3.0,-1.0,0.0,11.0,31.4253,0.0,0.3267,0.0,1.0,1.0,1.0,131.332,1.0,1.0,0.5125,96.2378,81.0,1.0,0.3944,1.0,C_TemplateSub_ICA3_IC2_131bpm,1.0,131.332,130.0,0.5125,1.0,0.0,0.3,0.0,0.0,1.0,1.0,130.0,131.3726
20260701_141524,a47,PHASE_cinc2013_metadata,3.0,1.0,2.0,142.0,143.2869,1.0,0.6,0.5327,3.0,-1.0,0.0,43.0,76.1448,0.0,0.2,0.0,1.0,1.0,0.0,140.8003,1.0,0.9997,1.0321,98.3941,70.0,1.0,0.7263,1.0,C_TemplateSub_ICA3_IC1_141bpm,0.0,140.8003,140.0,1.0321,0.9997,0.0,0.3,0.0,0.0,1.0,1.0,140.0,140.8008
20260701_141524,a48,PHASE_cinc2013_metadata,3.0,1.0,0.0,109.0,126.8206,1.0,0.2009,0.3667,3.0,-1.0,0.0,7.0,70.4183,0.0,0.2,0.0,1.0,1.0,2.0,135.7404,1.0,1.0,0.799,98.4725,73.0,1.0,0.699,1.0,C_TemplateSub_ICA3_IC3_136bpm,2.0,135.7404,134.0,0.799,1.0,0.0,0.3,0.0,0.0,1.0,1.0,134.0,135.7394
20260701_141524,a49,PHASE_cinc2013_metadata,3.0,1.0,0.0,146.0,147.1687,1.0,0.4001,1.0767,3.0,-1.0,2.0,133.0,140.3178,1.0,1.0,0.5831,1.0,1.0,2.0,146.6181,1.0,0.4001,1.1179,85.3941,87.0,1.0,0.7522,1.0,C_TemplateSub_ICA3_IC3_147bpm,2.0,146.6181,145.0,1.1179,0.4001,0.0,0.3,0.0,0.0,1.0,1.0,145.0,146.6185
20260701_141524,a50,PHASE_cinc2013_metadata,3.0,1.0,2.0,141.0,141.3529,1.0,1.0,0.944,3.0,-1.0,0.0,0.0,,0.0,0.2,0.0,1.0,1.0,0.0,141.7721,1.0,1.0,0.9722,99.6677,79.0,1.0,0.4335,1.0,C_TemplateSub_ICA3_IC1_142bpm,0.0,141.7721,142.0,0.9722,1.0,0.0,0.3,0.0,0.0,1.0,1.0,142.0,141.7705
20260701_141524,a51,PHASE_cinc2013_metadata,3.0,2.0,0.0,127.0,135.7442,1.0,0.6,0.6184,3.0,-1.0,0.0,10.0,41.0499,0.0,0.3256,0.0,1.0,1.0,1.0,132.7886,1.0,1.0,0.6575,98.7393,86.0,1.0,0.6149,1.0,C_TemplateSub_ICA3_IC2_133bpm,1.0,132.7886,128.0,0.6575,1.0,0.0,0.3,0.0,0.0,1.0,1.0,131.0,135.7549
20260701_141524,a52,PHASE_cinc2013_metadata,3.0,1.0,0.0,137.0,140.3928,1.0,0.4007,0.6655,3.0,-1.0,0.0,4.0,48.3845,0.0,0.2,0.0,1.0,1.0,3.0,140.4924,1.0,0.6005,0.6738,29.3796,94.0,1.0,0.6403,1.0,C_TemplateSub_ICA3_IC4_140bpm,3.0,140.4924,135.0,0.6738,0.6005,0.0,0.3,0.0,0.0,1.0,1.0,135.0,140.5092
20260701_141524,a53,PHASE_cinc2013_metadata,3.0,1.0,0.0,133.0,142.3488,1.0,0.4003,0.3225,3.0,-1.0,2.0,134.0,142.4494,1.0,1.0,0.3265,1.0,1.0,2.0,154.3629,1.0,0.6,1.0602,60.0305,79.0,1.0,0.5643,1.0,C_TemplateSub_ICA3_IC3_154bpm,2.0,154.3629,154.0,1.0602,0.6,0.0,0.3,0.0,0.0,1.0,1.0,154.0,154.3634
20260701_141524,a54,PHASE_cinc2013_metadata,3.0,0.0,2.0,135.0,144.0427,1.0,0.6,0.3236,3.0,-1.0,0.0,10.0,45.7898,0.0,0.2,0.0,1.0,1.0,1.0,146.6954,1.0,1.0,0.2779,4.2399,86.0,1.0,0.4614,1.0,A_ICA1_direct_IC3_144bpm,2.0,144.0427,135.0,0.3236,0.6,0.0,0.3,0.0,1.0,1.0,1.0,136.0,144.9643
20260701_141524,a55,PHASE_cinc2013_metadata,3.0,1.0,3.0,136.0,143.8918,1.0,0.5464,0.2807,3.0,-1.0,2.0,134.0,143.8273,1.0,1.0,0.251,1.0,1.0,3.0,141.0037,1.0,1.0,0.5887,96.5564,94.0,1.0,0.4426,1.0,C_TemplateSub_ICA3_IC4_141bpm,3.0,141.0037,139.0,0.5887,1.0,0.0,0.3,0.0,0.0,1.0,1.0,139.0,141.8812
20260701_141524,a56,PHASE_cinc2013_metadata,3.0,1.0,0.0,135.0,138.2215,1.0,0.4,0.4787,3.0,-1.0,3.0,135.0,142.7536,1.0,1.0,0.4519,1.0,1.0,2.0,134.9294,1.0,1.0,0.5923,57.1365,92.0,1.0,0.5775,1.0,C_TemplateSub_ICA3_IC3_135bpm,2.0,134.9294,133.0,0.5923,1.0,0.0,0.3,0.0,0.0,1.0,1.0,133.0,134.934
20260701_141524,a57,PHASE_cinc2013_metadata,3.0,1.0,0.0,148.0,148.2954,1.0,0.4,1.4405,3.0,-1.0,0.0,8.0,23.1433,0.0,0.2,0.0,1.0,1.0,0.0,148.3107,1.0,0.4057,1.4056,99.6353,85.0,1.0,0.6316,1.0,A_ICA1_direct_IC1_148bpm,0.0,148.2954,148.0,1.4405,0.4,0.0,0.3,0.0,0.0,1.0,1.0,148.0,148.2933
20260701_141524,a58,PHASE_cinc2013_metadata,3.0,1.0,3.0,137.0,137.8796,1.0,0.4001,0.6705,3.0,-1.0,2.0,137.0,138.1852,1.0,1.0,0.5287,1.0,1.0,2.0,137.7689,1.0,0.4013,0.8344,77.1627,105.0,1.0,0.5227,1.0,C_TemplateSub_ICA3_IC3_138bpm,2.0,137.7689,137.0,0.8344,0.4013,0.0,0.3,0.0,0.0,1.0,1.0,137.0,137.7718
