timestamp,recording,method,ica1_pca_n_components,ica1_maternal_ic_index,path_a_selected_ic_index,path_a_selected_ic_peak_count,path_a_selected_ic_hr_bpm,path_a_selected_ic_is_valid,path_a_selected_ic_stability,path_a_selected_ic_score,ica2_pca_n_components,ica2_excluded_maternal_residual_ic_index,path_b_selected_ic_index,path_b_selected_ic_peak_count,path_b_selected_ic_hr_bpm,path_b_selected_ic_is_valid,path_b_selected_ic_stability,path_b_selected_ic_score,path_b_adaptive_filter_used,ts_integration_mode,wsvd_energy_reduction_pct,wsvd_n_beats_checked,ts_refinement_used,ts_refinement_energy_reduction_pct,ts_refinement_n_beats_checked,path_c_enabled,path_c_selected_ic_index,path_c_selected_ic_hr_bpm,path_c_selected_ic_is_valid,path_c_selected_ic_stability,path_c_selected_ic_score,path_c_template_energy_reduction_pct,path_c_template_n_beats,sqi_fusion_enabled,chosen_sqi,periodicity_score_enabled,chosen_path_description,chosen_ic_index,chosen_ic_hr_bpm,chosen_ic_peak_count,chosen_ic_selection_score,chosen_ic_stability,low_confidence,confidence_gate_threshold,harmonic_confusion,sparse_annotation,ekf_used,ekf_use_rts,final_peak_count,final_hr_bpm
20260702_102226,a11,PHASE_cinc2013_metadata,3.0,1.0,2.0,103.0,130.2563,1.0,0.6018,0.169,3.0,-1.0,2.0,129.0,135.8515,1.0,1.0,0.5269,1.0,cascade,88.3309,94.0,1.0,88.6718,94.0,0.0,,,0.0,,,,,1.0,,1.0,B_WSVD_ICA2_IC3_136bpm,2.0,135.8515,130.0,0.5269,1.0,0.0,0.3,0.0,0.0,1.0,1.0,128.0,134.9517
20260702_102226,a12,PHASE_cinc2013_metadata,3.0,2.0,0.0,134.0,136.8652,1.0,1.0,0.5605,3.0,-1.0,2.0,135.0,136.3235,1.0,1.0,0.8108,1.0,cascade,69.9383,87.0,1.0,85.3206,87.0,0.0,,,0.0,,,,,1.0,,1.0,B_WSVD_ICA2_IC3_136bpm,2.0,136.3235,135.0,0.8108,1.0,0.0,0.3,0.0,0.0,1.0,1.0,135.0,136.3222
20260702_102226,a13,PHASE_cinc2013_metadata,3.0,2.0,0.0,122.0,132.8596,1.0,0.6,0.3699,3.0,-1.0,2.0,126.0,125.9573,1.0,1.0,1.2666,1.0,cascade,70.3277,81.0,1.0,94.0018,81.0,0.0,,,0.0,,,,,1.0,,1.0,B_WSVD_ICA2_IC3_126bpm,2.0,125.9573,126.0,1.2666,1.0,0.0,0.3,0.0,0.0,1.0,1.0,126.0,125.9593
20260702_102226,a14,PHASE_cinc2013_metadata,3.0,2.0,1.0,114.0,122.5914,1.0,0.9999,0.5132,3.0,-1.0,2.0,124.0,125.3924,1.0,1.0,0.5748,1.0,cascade,68.325,100.0,1.0,85.4222,100.0,0.0,,,0.0,,,,,1.0,,1.0,B_WSVD_ICA2_IC3_125bpm,2.0,125.3924,124.0,0.5748,1.0,0.0,0.3,0.0,0.0,1.0,1.0,124.0,125.3911
20260702_102226,a15,PHASE_cinc2013_metadata,3.0,2.0,0.0,134.0,134.895,1.0,0.3021,1.0433,3.0,-1.0,0.0,133.0,134.6629,1.0,1.0,1.1285,1.0,cascade,60.0728,73.0,1.0,56.6956,73.0,0.0,,,0.0,,,,,1.0,,1.0,B_WSVD_ICA2_IC1_135bpm,0.0,134.6629,133.0,1.1285,1.0,0.0,0.3,0.0,0.0,1.0,1.0,133.0,134.7337
20260702_102226,a16,PHASE_cinc2013_metadata,3.0,1.0,2.0,97.0,128.0296,1.0,0.6007,0.1667,3.0,-1.0,0.0,13.0,62.5062,0.0,0.2,0.0,1.0,cascade,86.6844,90.0,1.0,69.9636,90.0,0.0,,,0.0,,,,,1.0,,1.0,A_spectral_IC3_128bpm,2.0,128.0296,97.0,0.1667,0.6007,1.0,0.3,0.0,0.0,1.0,1.0,98.0,129.3156
20260702_102226,a17,PHASE_cinc2013_metadata,3.0,2.0,1.0,132.0,132.2187,1.0,0.4,1.0077,3.0,-1.0,1.0,131.0,132.0711,1.0,1.0,0.8998,1.0,cascade,61.6878,87.0,1.0,59.2306,87.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC2_132bpm,1.0,132.2187,132.0,1.0077,0.4,0.0,0.3,0.0,0.0,1.0,1.0,132.0,132.2586
20260702_102226,a18,PHASE_cinc2013_metadata,3.0,1.0,0.0,111.0,111.5876,1.0,0.891,0.3717,3.0,-1.0,0.0,21.0,51.5882,0.0,0.2,0.0,1.0,cascade,85.5127,88.0,1.0,79.5393,88.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC1_112bpm,0.0,111.5876,111.0,0.3717,0.891,0.0,0.3,0.0,0.0,1.0,1.0,111.0,111.5873
20260702_102226,a19,PHASE_cinc2013_metadata,3.0,2.0,1.0,110.0,124.6204,1.0,1.0,0.3048,3.0,-1.0,2.0,127.0,127.1301,1.0,1.0,1.5871,1.0,cascade,69.8663,72.0,1.0,87.7582,72.0,0.0,,,0.0,,,,,1.0,,1.0,B_WSVD_ICA2_IC3_127bpm,2.0,127.1301,127.0,1.5871,1.0,0.0,0.3,0.0,0.0,1.0,1.0,127.0,127.122
20260702_102226,a20,PHASE_cinc2013_metadata,3.0,2.0,0.0,125.0,135.1214,1.0,0.4001,0.2851,3.0,-1.0,2.0,131.0,131.93,1.0,1.0,0.8405,1.0,cascade,69.8698,84.0,1.0,90.8712,84.0,0.0,,,0.0,,,,,1.0,,1.0,B_WSVD_ICA2_IC3_132bpm,2.0,131.93,131.0,0.8405,1.0,0.0,0.3,0.0,0.0,1.0,1.0,131.0,131.9312
20260702_102226,a21,PHASE_cinc2013_metadata,3.0,2.0,0.0,141.0,145.5164,1.0,0.4,0.5469,3.0,-1.0,2.0,135.0,142.0197,1.0,1.0,0.2872,1.0,cascade,82.742,90.0,1.0,90.4436,90.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC1_146bpm,0.0,145.5164,141.0,0.5469,0.4,0.0,0.3,0.0,0.0,1.0,1.0,140.0,144.7398
20260702_102226,a22,PHASE_cinc2013_metadata,3.0,2.0,1.0,126.0,125.3701,1.0,0.4,1.5726,3.0,-1.0,1.0,126.0,125.4113,1.0,1.0,1.1092,1.0,cascade,62.3012,79.0,1.0,66.0724,79.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC2_125bpm,1.0,125.3701,126.0,1.5726,0.4,0.0,0.3,0.0,0.0,1.0,1.0,126.0,125.3844
20260702_102226,a23,PHASE_cinc2013_metadata,3.0,2.0,0.0,136.0,142.5163,1.0,0.4002,0.2422,3.0,-1.0,2.0,126.0,126.7042,1.0,1.0,1.2769,1.0,cascade,69.7987,77.0,1.0,87.7295,77.0,0.0,,,0.0,,,,,1.0,,1.0,B_WSVD_ICA2_IC3_127bpm,2.0,126.7042,126.0,1.2769,1.0,0.0,0.3,0.0,0.0,1.0,1.0,126.0,126.706
20260702_102226,a24,PHASE_cinc2013_metadata,3.0,2.0,1.0,116.0,129.9818,1.0,1.0,0.2613,3.0,-1.0,2.0,123.0,123.2107,1.0,1.0,1.3534,1.0,cascade,67.8167,79.0,1.0,89.9716,79.0,0.0,,,0.0,,,,,1.0,,1.0,B_WSVD_ICA2_IC3_123bpm,2.0,123.2107,123.0,1.3534,1.0,0.0,0.3,0.0,0.0,1.0,1.0,123.0,123.2052
20260702_102226,a25,PHASE_cinc2013_metadata,3.0,2.0,1.0,107.0,123.4255,1.0,1.0,0.3075,3.0,-1.0,2.0,125.0,125.0419,1.0,1.0,1.5403,1.0,cascade,70.8572,78.0,1.0,89.4151,78.0,0.0,,,0.0,,,,,1.0,,1.0,B_WSVD_ICA2_IC3_125bpm,2.0,125.0419,125.0,1.5403,1.0,0.0,0.3,0.0,0.0,1.0,1.0,125.0,125.0398
20260702_102226,a26,PHASE_cinc2013_metadata,3.0,1.0,0.0,136.0,139.4314,1.0,0.8029,0.4488,3.0,-1.0,0.0,12.0,58.179,0.0,0.2,0.0,1.0,cascade,91.5981,71.0,1.0,88.0411,71.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC1_139bpm,0.0,139.4314,136.0,0.4488,0.8029,0.0,0.3,0.0,0.0,1.0,1.0,137.0,140.5567
20260702_102226,a27,PHASE_cinc2013_metadata,3.0,1.0,0.0,134.0,137.7508,1.0,0.6012,0.7353,3.0,-1.0,0.0,29.0,52.3347,0.0,0.2001,0.0,1.0,cascade,95.8716,90.0,1.0,98.807,90.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC1_138bpm,0.0,137.7508,135.0,0.7353,0.6012,0.0,0.3,0.0,0.0,1.0,1.0,133.0,136.5382
20260702_102226,a28,PHASE_cinc2013_metadata,3.0,2.0,0.0,141.0,148.9857,1.0,1.0,0.5936,3.0,-1.0,0.0,166.0,167.7356,1.0,1.0,0.8844,1.0,cascade,52.9445,94.0,1.0,80.8306,94.0,0.0,,,0.0,,,,,1.0,,1.0,B_WSVD_ICA2_IC1_168bpm,0.0,167.7356,166.0,0.8844,1.0,0.0,0.3,0.0,0.0,1.0,1.0,166.0,167.7411
20260702_102226,a29,PHASE_cinc2013_metadata,3.0,1.0,0.0,133.0,139.3106,1.0,0.4044,0.3915,3.0,-1.0,0.0,11.0,88.5926,0.0,0.2,0.0,1.0,cascade,61.7592,60.0,1.0,6.9415,60.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC1_139bpm,0.0,139.3106,133.0,0.3915,0.4044,0.0,0.3,0.0,0.0,1.0,1.0,132.0,138.8555
20260702_102226,a30,PHASE_cinc2013_metadata,3.0,1.0,2.0,135.0,142.9803,1.0,0.6,0.3063,3.0,-1.0,0.0,138.0,139.1179,1.0,1.0,0.732,1.0,cascade,57.1251,100.0,1.0,83.3118,100.0,0.0,,,0.0,,,,,1.0,,1.0,B_WSVD_ICA2_IC1_139bpm,0.0,139.1179,138.0,0.732,1.0,0.0,0.3,0.0,0.0,1.0,1.0,138.0,139.1211
20260702_102226,a31,PHASE_cinc2013_metadata,3.0,2.0,0.0,137.0,144.7921,1.0,0.9984,0.3025,3.0,-1.0,2.0,137.0,137.0877,1.0,1.0,1.2127,1.0,cascade,45.451,78.0,1.0,26.2165,78.0,0.0,,,0.0,,,,,1.0,,1.0,B_WSVD_ICA2_IC3_137bpm,2.0,137.0877,137.0,1.2127,1.0,0.0,0.3,0.0,0.0,1.0,1.0,137.0,137.0893
20260702_102226,a32,PHASE_cinc2013_metadata,3.0,1.0,0.0,152.0,152.1103,1.0,0.6002,1.0163,3.0,-1.0,0.0,16.0,56.3525,0.0,0.2,0.0,1.0,cascade,95.7517,93.0,1.0,98.8585,93.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC1_152bpm,0.0,152.1103,152.0,1.0163,0.6002,0.0,0.3,0.0,0.0,1.0,1.0,152.0,152.1226
20260702_102226,a33,PHASE_cinc2013_metadata,3.0,1.0,0.0,142.0,144.0499,1.0,1.0,1.3745,3.0,-1.0,2.0,143.0,144.1332,1.0,1.0,1.3839,1.0,cascade,81.3007,89.0,1.0,47.2658,89.0,0.0,,,0.0,,,,,1.0,,1.0,B_WSVD_ICA2_IC3_144bpm,2.0,144.1332,143.0,1.3839,1.0,0.0,0.3,0.0,0.0,1.0,1.0,143.0,144.1356
20260702_102226,a34,PHASE_cinc2013_metadata,3.0,0.0,1.0,134.0,142.4377,1.0,0.401,0.3209,3.0,-1.0,0.0,137.0,143.6885,1.0,1.0,0.2763,1.0,cascade,49.1628,74.0,1.0,17.5201,74.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC2_142bpm,1.0,142.4377,134.0,0.3209,0.401,0.0,0.3,0.0,0.0,1.0,1.0,133.0,141.684
20260702_102226,a35,PHASE_cinc2013_metadata,3.0,2.0,1.0,131.0,144.2799,1.0,1.0,0.5397,3.0,-1.0,2.0,166.0,165.5538,1.0,1.0,1.6725,1.0,cascade,27.6319,91.0,1.0,84.6908,91.0,0.0,,,0.0,,,,,1.0,,1.0,B_WSVD_ICA2_IC3_166bpm,2.0,165.5538,166.0,1.6725,1.0,0.0,0.3,0.0,0.0,1.0,1.0,166.0,165.5584
20260702_102226,a36,PHASE_cinc2013_metadata,3.0,2.0,0.0,141.0,149.6194,1.0,0.4,0.4675,3.0,-1.0,2.0,167.0,167.111,1.0,1.0,0.7735,1.0,cascade,26.5731,95.0,1.0,86.4135,95.0,0.0,,,0.0,,,,,1.0,,1.0,B_WSVD_ICA2_IC3_167bpm,2.0,167.111,167.0,0.7735,1.0,0.0,0.3,0.0,0.0,1.0,1.0,167.0,167.0907
20260702_102226,a37,PHASE_cinc2013_metadata,3.0,2.0,0.0,136.0,143.3477,1.0,0.4,0.3044,3.0,-1.0,2.0,136.0,143.8374,1.0,1.0,0.2727,1.0,cascade,70.3311,94.0,1.0,33.2835,94.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC1_143bpm,0.0,143.3477,136.0,0.3044,0.4,0.0,0.3,0.0,0.0,1.0,1.0,136.0,143.2365
20260702_102226,a38,PHASE_cinc2013_metadata,3.0,1.0,0.0,134.0,141.8852,1.0,0.6003,0.365,3.0,-1.0,0.0,8.0,73.7068,0.0,0.2,0.0,1.0,cascade,76.0769,73.0,1.0,12.4918,73.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC1_142bpm,0.0,141.8852,134.0,0.365,0.6003,0.0,0.3,0.0,0.0,1.0,1.0,135.0,143.3449
20260702_102226,a39,PHASE_cinc2013_metadata,3.0,1.0,0.0,141.0,148.9756,1.0,0.6001,0.2953,3.0,-1.0,2.0,138.0,146.4401,1.0,1.0,0.2948,1.0,cascade,70.0896,89.0,1.0,49.5714,89.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC1_149bpm,0.0,148.9756,141.0,0.2953,0.6001,1.0,0.3,0.0,0.0,1.0,1.0,139.0,147.4523
20260702_102226,a40,PHASE_cinc2013_metadata,3.0,1.0,0.0,130.0,137.6969,1.0,0.4001,0.3223,3.0,-1.0,2.0,132.0,139.1346,1.0,1.0,0.317,1.0,cascade,68.397,79.0,1.0,8.6483,79.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC1_138bpm,0.0,137.6969,131.0,0.3223,0.4001,0.0,0.3,0.0,0.0,1.0,1.0,132.0,139.0591
20260702_102226,a41,PHASE_cinc2013_metadata,3.0,1.0,2.0,135.0,135.3983,1.0,0.6002,1.0387,3.0,-1.0,2.0,136.0,135.987,1.0,1.0,1.0324,1.0,cascade,87.056,107.0,1.0,31.0238,107.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC3_135bpm,2.0,135.3983,135.0,1.0387,0.6002,0.0,0.3,0.0,0.0,1.0,1.0,135.0,135.3963
20260702_102226,a42,PHASE_cinc2013_metadata,3.0,1.0,0.0,138.0,146.2347,1.0,0.4288,0.315,3.0,-1.0,2.0,139.0,147.4653,1.0,0.9985,0.3096,1.0,cascade,67.5731,73.0,1.0,10.4135,73.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC1_146bpm,0.0,146.2347,138.0,0.315,0.4288,0.0,0.3,0.0,0.0,1.0,1.0,138.0,146.1634
20260702_102226,a43,PHASE_cinc2013_metadata,3.0,1.0,0.0,158.0,157.8977,1.0,0.6003,1.476,3.0,-1.0,0.0,20.0,61.2231,0.0,0.2,0.0,1.0,cascade,95.8234,101.0,1.0,98.8251,101.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC1_158bpm,0.0,157.8977,158.0,1.476,0.6003,0.0,0.3,0.0,0.0,1.0,1.0,158.0,157.8974
20260702_102226,a44,PHASE_cinc2013_metadata,3.0,2.0,1.0,145.0,157.0041,1.0,1.0,0.8856,3.0,-1.0,0.0,161.0,162.1271,1.0,1.0,1.0084,1.0,cascade,54.6708,91.0,1.0,80.2677,91.0,0.0,,,0.0,,,,,1.0,,1.0,B_WSVD_ICA2_IC1_162bpm,0.0,162.1271,161.0,1.0084,1.0,0.0,0.3,0.0,0.0,1.0,1.0,161.0,162.1258
20260702_102226,a45,PHASE_cinc2013_metadata,3.0,0.0,2.0,140.0,148.6402,1.0,0.4,0.2658,3.0,-1.0,2.0,140.0,148.2712,1.0,1.0,0.2861,1.0,cascade,95.1476,94.0,1.0,53.5258,94.0,0.0,,,0.0,,,,,1.0,,1.0,B_WSVD_ICA2_IC3_148bpm,2.0,148.2712,140.0,0.2861,1.0,1.0,0.3,0.0,0.0,1.0,1.0,137.0,145.4419
20260702_102226,a46,PHASE_cinc2013_metadata,3.0,1.0,2.0,135.0,142.8085,1.0,0.6,0.2801,3.0,-1.0,2.0,133.0,135.6395,1.0,1.0,0.4573,1.0,cascade,77.3584,81.0,1.0,92.9366,81.0,0.0,,,0.0,,,,,1.0,,1.0,B_WSVD_ICA2_IC3_136bpm,2.0,135.6395,133.0,0.4573,1.0,0.0,0.3,0.0,0.0,1.0,1.0,133.0,135.6374
20260702_102226,a47,PHASE_cinc2013_metadata,3.0,1.0,2.0,142.0,143.2869,1.0,0.6,0.5327,3.0,-1.0,0.0,42.0,77.8302,0.0,0.2,0.0,1.0,cascade,91.5279,70.0,1.0,88.6613,70.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC3_143bpm,2.0,143.2869,142.0,0.5327,0.6,0.0,0.3,0.0,0.0,1.0,1.0,142.0,143.4095
20260702_102226,a48,PHASE_cinc2013_metadata,3.0,1.0,0.0,109.0,126.8206,1.0,0.2009,0.3667,3.0,-1.0,0.0,7.0,70.4183,0.0,0.2,0.0,1.0,cascade,91.0201,73.0,1.0,88.8396,73.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC1_127bpm,0.0,126.8206,109.0,0.3667,0.2009,0.0,0.3,0.0,0.0,1.0,1.0,109.0,126.7695
20260702_102226,a49,PHASE_cinc2013_metadata,3.0,1.0,0.0,146.0,147.1687,1.0,0.4001,1.0767,3.0,-1.0,2.0,145.0,146.8257,1.0,1.0,1.0923,1.0,cascade,82.7629,87.0,1.0,46.7643,87.0,0.0,,,0.0,,,,,1.0,,1.0,B_WSVD_ICA2_IC3_147bpm,2.0,146.8257,145.0,1.0923,1.0,0.0,0.3,0.0,0.0,1.0,1.0,146.0,147.8023
20260702_102226,a50,PHASE_cinc2013_metadata,3.0,1.0,2.0,141.0,141.3529,1.0,1.0,0.944,3.0,-1.0,0.0,4.0,14.1275,0.0,0.2,0.0,1.0,cascade,96.3493,79.0,1.0,98.0902,79.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC3_141bpm,2.0,141.3529,141.0,0.944,1.0,0.0,0.3,0.0,0.0,1.0,1.0,141.0,141.354
20260702_102226,a51,PHASE_cinc2013_metadata,3.0,2.0,0.0,127.0,135.7442,1.0,0.6,0.6184,3.0,-1.0,0.0,4.0,35.9446,0.0,0.327,0.0,1.0,cascade,96.3572,86.0,1.0,84.4191,86.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC1_136bpm,0.0,135.7442,128.0,0.6184,0.6,0.0,0.3,0.0,0.0,1.0,1.0,134.0,141.5114
20260702_102226,a52,PHASE_cinc2013_metadata,3.0,1.0,0.0,137.0,140.3928,1.0,0.4007,0.6655,3.0,-1.0,0.0,9.0,15.4051,0.0,0.2,0.0,1.0,cascade,65.2656,94.0,1.0,4.703,94.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC1_140bpm,0.0,140.3928,137.0,0.6655,0.4007,0.0,0.3,0.0,0.0,1.0,1.0,137.0,140.4038
20260702_102226,a53,PHASE_cinc2013_metadata,3.0,1.0,0.0,133.0,142.3488,1.0,0.4003,0.3225,3.0,-1.0,0.0,135.0,142.7156,1.0,1.0,0.3149,1.0,cascade,64.1545,79.0,1.0,7.9032,79.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC1_142bpm,0.0,142.3488,133.0,0.3225,0.4003,0.0,0.3,0.0,0.0,1.0,1.0,133.0,142.5151
20260702_102226,a54,PHASE_cinc2013_metadata,3.0,0.0,2.0,135.0,144.0427,1.0,0.6,0.3236,3.0,-1.0,0.0,12.0,41.4204,0.0,0.2,0.0,1.0,cascade,27.8331,86.0,1.0,0.422,86.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC3_144bpm,2.0,144.0427,135.0,0.3236,0.6,0.0,0.3,0.0,1.0,1.0,1.0,136.0,144.9643
20260702_102226,a55,PHASE_cinc2013_metadata,3.0,1.0,3.0,136.0,143.8918,1.0,0.5464,0.2807,3.0,-1.0,2.0,133.0,143.6818,1.0,1.0,0.2687,1.0,cascade,94.8751,94.0,1.0,51.6643,94.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC4_144bpm,3.0,143.8918,136.0,0.2807,0.5464,1.0,0.3,0.0,0.0,1.0,1.0,136.0,143.9816
20260702_102226,a56,PHASE_cinc2013_metadata,3.0,1.0,0.0,135.0,138.2215,1.0,0.4,0.4787,3.0,-1.0,0.0,136.0,136.3982,1.0,1.0,0.7618,1.0,cascade,50.7188,92.0,1.0,22.6694,92.0,0.0,,,0.0,,,,,1.0,,1.0,B_WSVD_ICA2_IC1_136bpm,0.0,136.3982,136.0,0.7618,1.0,0.0,0.3,0.0,0.0,1.0,1.0,136.0,136.3982
20260702_102226,a57,PHASE_cinc2013_metadata,3.0,1.0,0.0,148.0,148.2954,1.0,0.4,1.4405,3.0,-1.0,0.0,20.0,55.9693,0.0,0.2,0.0,1.0,cascade,93.3288,85.0,1.0,96.7406,85.0,0.0,,,0.0,,,,,1.0,,1.0,A_ICA1_direct_IC1_148bpm,0.0,148.2954,148.0,1.4405,0.4,0.0,0.3,0.0,0.0,1.0,1.0,148.0,148.2933
